dataset,method,attacker,train_status,test_status,round_status,error,train_pairs_file,test_pairs_file,train_pairs,test_pairs,valid_pairs,train_log,test_log,train_meta,train_ckpt,gpu_id,gpu_names,psnr,ssim,asr_avg,asr_Mobilenet,asr_resnet,asr_IR,asr_ArcFace,asr_FaceNet,asr_CosFace,benchmark_run_dir,updated_at
LFW,DuetFace,gfpgan,ok,ok,ok,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/DuetFace_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/DuetFace_test.txt,320,40,40,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/train_gfpgan_LFW_DuetFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/test_gfpgan_LFW_DuetFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/LFW/DuetFace/train_meta.json,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/LFW/DuetFace/gfpgan_LFW_DuetFace.pth,0,"[""NVIDIA GeForce RTX 3090""]",10.794633,0.236332,0.045833,0.000000,0.000000,0.025000,0.075000,0.025000,0.150000,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/benchmark_rounds/LFW/DuetFace/combos/LFW/DuetFace/gfpgan,1773231307
LFW,ProFace,gfpgan,ok,ok,ok,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/ProFace_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/ProFace_test.txt,320,40,40,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/train_gfpgan_LFW_ProFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/test_gfpgan_LFW_ProFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/LFW/ProFace/train_meta.json,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/LFW/ProFace/gfpgan_LFW_ProFace.pth,0,"[""NVIDIA GeForce RTX 3090""]",17.181113,0.446095,0.395833,0.350000,0.200000,0.250000,0.625000,0.175000,0.775000,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/benchmark_rounds/LFW/ProFace/combos/LFW/ProFace/gfpgan,1773238888
LFW,MinusFace,gfpgan,ok,ok,ok,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/MinusFace_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/MinusFace_test.txt,320,40,40,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/train_gfpgan_LFW_MinusFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/test_gfpgan_LFW_MinusFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/LFW/MinusFace/train_meta.json,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/LFW/MinusFace/gfpgan_LFW_MinusFace.pth,0,"[""NVIDIA GeForce RTX 3090""]",12.058155,0.270819,0.029167,0.025000,0.000000,0.025000,0.050000,0.025000,0.050000,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/benchmark_rounds/LFW/MinusFace/combos/LFW/MinusFace/gfpgan,1773243395
LFW,Ours,gfpgan,ok,ok,ok,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/Ours_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/Ours_test.txt,320,40,40,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/train_gfpgan_LFW_Ours.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/test_gfpgan_LFW_Ours.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/LFW/Ours/train_meta.json,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/LFW/Ours/gfpgan_LFW_Ours.pth,0,"[""NVIDIA GeForce RTX 3090""]",12.039811,0.299106,0.008333,0.000000,0.000000,0.000000,0.000000,0.025000,0.025000,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/benchmark_rounds/LFW/Ours/combos/LFW/Ours/gfpgan,1773252488
LFW,AdvFace,gfpgan,skipped,skipped,skipped,"Optional method has empty splits: train_pairs=0, test_pairs=0, files=(/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/AdvFace_train.txt, /home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/AdvFace_test.txt)",/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/AdvFace_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/AdvFace_test.txt,0,0,,,,,,0,"[""NVIDIA GeForce RTX 3090""]",,,,,,,,,,,1773252488
LFW,FracFace,gfpgan,skipped,skipped,skipped,"Optional method has empty splits: train_pairs=0, test_pairs=0, files=(/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/FracFace_train.txt, /home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/FracFace_test.txt)",/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/FracFace_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/LFW/FracFace_test.txt,0,0,,,,,,0,"[""NVIDIA GeForce RTX 3090""]",,,,,,,,,,,1773252488
CelebA,DuetFace,gfpgan,ok,ok,ok,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/CelebA/DuetFace_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/CelebA/DuetFace_test.txt,317,40,40,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/train_gfpgan_CelebA_DuetFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/test_gfpgan_CelebA_DuetFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/CelebA/DuetFace/train_meta.json,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/CelebA/DuetFace/gfpgan_CelebA_DuetFace.pth,0,"[""NVIDIA GeForce RTX 3090""]",10.526880,0.220592,0.141667,0.150000,0.050000,0.050000,0.300000,0.100000,0.200000,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/benchmark_rounds/CelebA/DuetFace/combos/CelebA/DuetFace/gfpgan,1773262466
CelebA,ProFace,gfpgan,ok,ok,ok,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/CelebA/ProFace_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/CelebA/ProFace_test.txt,317,40,40,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/train_gfpgan_CelebA_ProFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/test_gfpgan_CelebA_ProFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/CelebA/ProFace/train_meta.json,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/CelebA/ProFace/gfpgan_CelebA_ProFace.pth,0,"[""NVIDIA GeForce RTX 3090""]",17.140295,0.451571,0.583333,0.600000,0.450000,0.550000,0.825000,0.275000,0.800000,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/benchmark_rounds/CelebA/ProFace/combos/CelebA/ProFace/gfpgan,1773266312
//CelebA,MinusFace,gfpgan,ok,pending,running,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/CelebA/MinusFace_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/CelebA/MinusFace_test.txt,317,40,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/train_gfpgan_CelebA_MinusFace.log,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/CelebA/MinusFace/train_meta.json,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/CelebA/MinusFace/gfpgan_CelebA_MinusFace.pth,0,"[""NVIDIA GeForce RTX 3090""]",,,,,,,,,,,1773306013
CelebA,MinusFace,gfpgan,ok,ok,ok,,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/CelebA/MinusFace_train.txt,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/pair_data/pairs/CelebA/MinusFace_test.txt,317,40,40,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/train_gfpgan_CelebA_MinusFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/logs/test_gfpgan_CelebA_MinusFace.log,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/CelebA/MinusFace/train_meta.json,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/ckpts/gfpgan/CelebA/MinusFace/gfpgan_CelebA_MinusFace.pth,0,"[""NVIDIA GeForce RTX 3090""]",15.453914,0.433803,0.287500,0.200000,0.125000,0.250000,0.425000,0.150000,0.575000,/home/ps/Public/YuanWei/OtherLab/method_specific_full_runs/gfpgan_formal_earlystop_20260311_182159/benchmark_rounds/CelebA/MinusFace/combos/CelebA/MinusFace/gfpgan,1773306022
